KIND:mlv
UNITS:m
INTERVAL:mn
LOCATION:er
# file created: 2018-12-19 13:57:37
#YYYY-MM,      VAL
2016-01,    174.22
2016-02,    174.28
2016-03,    174.42
2016-04,    174.59
2016-05,    174.66
2016-06,    174.61
2016-07,    174.55
2016-08,    174.50
2016-09,    174.44
2016-10,    174.35
2016-11,    174.25
2016-12,    174.24
2017-01,    174.35
2017-02,    174.45
2017-03,    174.51
2017-04,    174.62
2017-05,    174.78
2017-06,    174.83
