UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	nia	
# m applied d		
2013-07-30 , 	5910.00
2013-07-31 , 	5910.00
2013-08-01 , 	5850.00
2013-08-02 , 	5850.00
2013-08-03 , 	5850.00
2013-08-04 , 	5850.00
2013-08-05 , 	5850.00
2013-08-06 , 	5850.00
2013-08-07 , 	5850.00
2013-08-08 , 	5850.00
2013-08-09 , 	5850.00
2013-08-10 , 	5850.00
2013-08-11 , 	5850.00
2013-08-12 , 	5850.00
2013-08-13 , 	5850.00
2013-08-14 , 	5850.00
2013-08-15 , 	5850.00
2013-08-16 , 	5850.00
2013-08-17 , 	5850.00
2013-08-18 , 	5850.00
2013-08-19 , 	5850.00
2013-08-20 , 	5850.00
2013-08-21 , 	5850.00
2013-08-22 , 	5850.00
2013-08-23 , 	5850.00
2013-08-24 , 	5850.00
2013-08-25 , 	5850.00
2013-08-26 , 	5850.00
2013-08-27 , 	5850.00
2013-08-28 , 	5850.00
2013-08-29 , 	5850.00
2013-08-30 , 	5850.00
2013-08-31 , 	5850.00
2013-09-01 , 	5590.00
2013-09-02 , 	5590.00
2013-09-03 , 	5590.00
2013-09-04 , 	5590.00
2013-09-05 , 	5590.00
2013-09-06 , 	5590.00
2013-09-07 , 	5590.00
2013-09-08 , 	5590.00
2013-09-09 , 	5590.00
2013-09-10 , 	5590.00
2013-09-11 , 	5590.00
2013-09-12 , 	5590.00
2013-09-13 , 	5590.00
2013-09-14 , 	5590.00
2013-09-15 , 	5590.00
2013-09-16 , 	5590.00
2013-09-17 , 	5590.00
2013-09-18 , 	5590.00
2013-09-19 , 	5590.00
2013-09-20 , 	5590.00
2013-09-21 , 	5590.00
2013-09-22 , 	5590.00
2013-09-23 , 	5590.00
2013-09-24 , 	5590.00
2013-09-25 , 	5590.00
2013-09-26 , 	5590.00
2013-09-27 , 	5590.00
2013-09-28 , 	5590.00
2013-09-29 , 	5590.00
2013-09-30 , 	5590.00
2013-10-01 , 	5720.00
2013-10-02 , 	5720.00
2013-10-03 , 	5720.00
2013-10-04 , 	5720.00
2013-10-05 , 	5720.00
2013-10-06 , 	5720.00
2013-10-07 , 	5720.00
2013-10-08 , 	5720.00
2013-10-09 , 	5720.00
2013-10-10 , 	5720.00
2013-10-11 , 	5720.00
2013-10-12 , 	5720.00
2013-10-13 , 	5720.00
2013-10-14 , 	5720.00
2013-10-15 , 	5720.00
2013-10-16 , 	5720.00
2013-10-17 , 	5720.00
2013-10-18 , 	5720.00
2013-10-19 , 	5720.00
2013-10-20 , 	5720.00
2013-10-21 , 	5720.00
2013-10-22 , 	5720.00
2013-10-23 , 	5720.00
2013-10-24 , 	5720.00
2013-10-25 , 	5720.00
2013-10-26 , 	5720.00
2013-10-27 , 	5720.00
2013-10-28 , 	5720.00
2013-10-29 , 	5720.00
2013-10-30 , 	5720.00
2013-10-31 , 	5720.00
2013-11-01 , 	5750.00
2013-11-02 , 	5750.00
2013-11-03 , 	5750.00
2013-11-04 , 	5750.00
2013-11-05 , 	5750.00
2013-11-06 , 	5750.00
2013-11-07 , 	5750.00
2013-11-08 , 	5750.00
2013-11-09 , 	5750.00
2013-11-10 , 	5750.00
2013-11-11 , 	5750.00
2013-11-12 , 	5750.00
2013-11-13 , 	5750.00
2013-11-14 , 	5750.00
2013-11-15 , 	5750.00
2013-11-16 , 	5750.00
2013-11-17 , 	5750.00
2013-11-18 , 	5750.00
2013-11-19 , 	5750.00
2013-11-20 , 	5750.00
2013-11-21 , 	5750.00
2013-11-22 , 	5750.00
2013-11-23 , 	5750.00
2013-11-24 , 	5750.00
2013-11-25 , 	5750.00
2013-11-26 , 	5750.00
2013-11-27 , 	5750.00
2013-11-28 , 	5750.00
2013-11-29 , 	5750.00
2013-11-30 , 	5750.00
2013-12-01 , 	5660.00
2013-12-02 , 	5660.00
2013-12-03 , 	5660.00
2013-12-04 , 	5660.00
2013-12-05 , 	5660.00
2013-12-06 , 	5660.00
2013-12-07 , 	5660.00
2013-12-08 , 	5660.00
2013-12-09 , 	5660.00
2013-12-10 , 	5660.00
2013-12-11 , 	5660.00
2013-12-12 , 	5660.00
2013-12-13 , 	5660.00
2013-12-14 , 	5660.00
2013-12-15 , 	5660.00
2013-12-16 , 	5660.00
2013-12-17 , 	5660.00
2013-12-18 , 	5660.00
2013-12-19 , 	5660.00
2013-12-20 , 	5660.00
2013-12-21 , 	5660.00
2013-12-22 , 	5660.00
2013-12-23 , 	5660.00
2013-12-24 , 	5660.00
2013-12-25 , 	5660.00
2013-12-26 , 	5660.00
2013-12-27 , 	5660.00
2013-12-28 , 	5660.00
2013-12-29 , 	5660.00
2013-12-30 , 	5660.00
2013-12-31 , 	5660.00
2014-01-01 , 	5300.00
2014-01-02 , 	5300.00
2014-01-03 , 	5300.00
2014-01-04 , 	5300.00
2014-01-05 , 	5300.00
2014-01-06 , 	5300.00
2014-01-07 , 	5300.00
2014-01-08 , 	5300.00
2014-01-09 , 	5300.00
2014-01-10 , 	5300.00
2014-01-11 , 	5300.00
2014-01-12 , 	5300.00
2014-01-13 , 	5300.00
2014-01-14 , 	5300.00
2014-01-15 , 	5300.00
2014-01-16 , 	5300.00
2014-01-17 , 	5300.00
2014-01-18 , 	5300.00
2014-01-19 , 	5300.00
2014-01-20 , 	5300.00
2014-01-21 , 	5300.00
2014-01-22 , 	5300.00
2014-01-23 , 	5300.00
2014-01-24 , 	5300.00
2014-01-25 , 	5300.00
2014-01-26 , 	5300.00
2014-01-27 , 	5300.00
2014-01-28 , 	5300.00
2014-01-29 , 	5300.00
2014-01-30 , 	5300.00
2014-01-31 , 	5300.00
2014-02-01 , 	5280.00
2014-02-02 , 	5280.00
2014-02-03 , 	5280.00
2014-02-04 , 	5280.00
2014-02-05 , 	5280.00
2014-02-06 , 	5280.00
2014-02-07 , 	5280.00
2014-02-08 , 	5280.00
2014-02-09 , 	5280.00
2014-02-10 , 	5280.00
2014-02-11 , 	5280.00
2014-02-12 , 	5280.00
2014-02-13 , 	5280.00
2014-02-14 , 	5280.00
2014-02-15 , 	5280.00
2014-02-16 , 	5280.00
2014-02-17 , 	5280.00
2014-02-18 , 	5280.00
2014-02-19 , 	5280.00
2014-02-20 , 	5280.00
2014-02-21 , 	5280.00
2014-02-22 , 	5280.00
2014-02-23 , 	5280.00
2014-02-24 , 	5280.00
2014-02-25 , 	5280.00
2014-02-26 , 	5280.00
2014-02-27 , 	5280.00
2014-02-28 , 	5280.00
2014-03-01 , 	5360.00
2014-03-02 , 	5360.00
2014-03-03 , 	5360.00
2014-03-04 , 	5360.00
2014-03-05 , 	5360.00
2014-03-06 , 	5360.00
2014-03-07 , 	5360.00
2014-03-08 , 	5360.00
2014-03-09 , 	5360.00
2014-03-10 , 	5360.00
2014-03-11 , 	5360.00
2014-03-12 , 	5360.00
2014-03-13 , 	5360.00
2014-03-14 , 	5360.00
2014-03-15 , 	5360.00
2014-03-16 , 	5360.00
2014-03-17 , 	5360.00
2014-03-18 , 	5360.00
2014-03-19 , 	5360.00
2014-03-20 , 	5360.00
2014-03-21 , 	5360.00
2014-03-22 , 	5360.00
2014-03-23 , 	5360.00
2014-03-24 , 	5360.00
2014-03-25 , 	5360.00
2014-03-26 , 	5360.00
2014-03-27 , 	5360.00
2014-03-28 , 	5360.00
2014-03-29 , 	5360.00
2014-03-30 , 	5360.00
2014-03-31 , 	5360.00
2014-04-01 , 	5780.00
2014-04-02 , 	5780.00
2014-04-03 , 	5780.00
2014-04-04 , 	5780.00
2014-04-05 , 	5780.00
2014-04-06 , 	5780.00
2014-04-07 , 	5780.00
2014-04-08 , 	5780.00
2014-04-09 , 	5780.00
2014-04-10 , 	5780.00
2014-04-11 , 	5780.00
2014-04-12 , 	5780.00
2014-04-13 , 	5780.00
2014-04-14 , 	5780.00
2014-04-15 , 	5780.00
2014-04-16 , 	5780.00
2014-04-17 , 	5780.00
2014-04-18 , 	5780.00
2014-04-19 , 	5780.00
2014-04-20 , 	5780.00
2014-04-21 , 	5780.00
2014-04-22 , 	5780.00
2014-04-23 , 	5780.00
2014-04-24 , 	5780.00
2014-04-25 , 	5780.00
2014-04-26 , 	5780.00
2014-04-27 , 	5780.00
2014-04-28 , 	5780.00
2014-04-29 , 	5780.00
2014-04-30 , 	5780.00
2014-05-01 , 	6190.00
2014-05-02 , 	6190.00
2014-05-03 , 	6190.00
2014-05-04 , 	6190.00
2014-05-05 , 	6190.00
2014-05-06 , 	6190.00
2014-05-07 , 	6190.00
2014-05-08 , 	6190.00
2014-05-09 , 	6190.00
2014-05-10 , 	6190.00
2014-05-11 , 	6190.00
2014-05-12 , 	6190.00
2014-05-13 , 	6190.00
2014-05-14 , 	6190.00
2014-05-15 , 	6190.00
2014-05-16 , 	6190.00
2014-05-17 , 	6190.00
2014-05-18 , 	6190.00
2014-05-19 , 	6190.00
2014-05-20 , 	6190.00
2014-05-21 , 	6190.00
2014-05-22 , 	6190.00
2014-05-23 , 	6190.00
2014-05-24 , 	6190.00
2014-05-25 , 	6190.00
2014-05-26 , 	6190.00
2014-05-27 , 	6190.00
2014-05-28 , 	6190.00
2014-05-29 , 	6190.00
2014-05-30 , 	6190.00
2014-05-31 , 	6190.00
2014-06-01 , 	6090.00
2014-06-02 , 	6090.00
2014-06-03 , 	6090.00
2014-06-04 , 	6090.00
2014-06-05 , 	6090.00
2014-06-06 , 	6090.00
2014-06-07 , 	6090.00
2014-06-08 , 	6090.00
2014-06-09 , 	6090.00
2014-06-10 , 	6090.00
2014-06-11 , 	6090.00
2014-06-12 , 	6090.00
2014-06-13 , 	6090.00
2014-06-14 , 	6090.00
2014-06-15 , 	6090.00
2014-06-16 , 	6090.00
2014-06-17 , 	6090.00
2014-06-18 , 	6090.00
2014-06-19 , 	6090.00
2014-06-20 , 	6090.00
2014-06-21 , 	6090.00
2014-06-22 , 	6090.00
2014-06-23 , 	6090.00
2014-06-24 , 	6090.00
2014-06-25 , 	6090.00
2014-06-26 , 	6090.00
2014-06-27 , 	6090.00
2014-06-28 , 	6090.00
2014-06-29 , 	6090.00
2014-06-30 , 	6090.00
2014-07-01 , 	6130.00
2014-07-02 , 	6130.00
2014-07-03 , 	6130.00
2014-07-04 , 	6130.00
2014-07-05 , 	6130.00
2014-07-06 , 	6130.00
2014-07-07 , 	6130.00
2014-07-08 , 	6130.00
2014-07-09 , 	6130.00
2014-07-10 , 	6130.00
2014-07-11 , 	6130.00
2014-07-12 , 	6130.00
2014-07-13 , 	6130.00
2014-07-14 , 	6130.00
2014-07-15 , 	6130.00
2014-07-16 , 	6130.00
2014-07-17 , 	6130.00
2014-07-18 , 	6130.00
2014-07-19 , 	6130.00
2014-07-20 , 	6130.00
2014-07-21 , 	6130.00
2014-07-22 , 	6130.00
2014-07-23 , 	6130.00
2014-07-24 , 	6130.00
2014-07-25 , 	6130.00
2014-07-26 , 	6130.00
2014-07-27 , 	6130.00
2014-07-28 , 	6130.00
2014-07-29 , 	6130.00
2014-07-30 , 	6130.00
2014-07-31 , 	6130.00
2014-08-01 , 	6040.00
2014-08-02 , 	6040.00
2014-08-03 , 	6040.00
2014-08-04 , 	6040.00
2014-08-05 , 	6040.00
2014-08-06 , 	6040.00
2014-08-07 , 	6040.00
2014-08-08 , 	6040.00
2014-08-09 , 	6040.00
2014-08-10 , 	6040.00
2014-08-11 , 	6040.00
2014-08-12 , 	6040.00
2014-08-13 , 	6040.00
2014-08-14 , 	6040.00
2014-08-15 , 	6040.00
2014-08-16 , 	6040.00
