UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	stc	
# m applied d		
2013-08-14 , 	240.00
2013-08-15 , 	240.00
2013-08-16 , 	240.00
2013-08-17 , 	240.00
2013-08-18 , 	240.00
2013-08-19 , 	240.00
2013-08-20 , 	240.00
2013-08-21 , 	240.00
2013-08-22 , 	240.00
2013-08-23 , 	240.00
2013-08-24 , 	240.00
2013-08-25 , 	240.00
2013-08-26 , 	240.00
2013-08-27 , 	240.00
2013-08-28 , 	240.00
2013-08-29 , 	240.00
2013-08-30 , 	240.00
2013-08-31 , 	240.00
2013-09-01 , 	210.00
2013-09-02 , 	210.00
2013-09-03 , 	210.00
2013-09-04 , 	210.00
2013-09-05 , 	210.00
2013-09-06 , 	210.00
2013-09-07 , 	210.00
2013-09-08 , 	210.00
2013-09-09 , 	210.00
2013-09-10 , 	210.00
2013-09-11 , 	210.00
2013-09-12 , 	210.00
2013-09-13 , 	210.00
2013-09-14 , 	210.00
2013-09-15 , 	210.00
2013-09-16 , 	210.00
2013-09-17 , 	210.00
2013-09-18 , 	210.00
2013-09-19 , 	210.00
2013-09-20 , 	210.00
2013-09-21 , 	210.00
2013-09-22 , 	210.00
2013-09-23 , 	210.00
2013-09-24 , 	210.00
2013-09-25 , 	210.00
2013-09-26 , 	210.00
2013-09-27 , 	210.00
2013-09-28 , 	210.00
2013-09-29 , 	210.00
2013-09-30 , 	210.00
2013-10-01 , 	230.00
2013-10-02 , 	230.00
2013-10-03 , 	230.00
2013-10-04 , 	230.00
2013-10-05 , 	230.00
2013-10-06 , 	230.00
2013-10-07 , 	230.00
2013-10-08 , 	230.00
2013-10-09 , 	230.00
2013-10-10 , 	230.00
2013-10-11 , 	230.00
2013-10-12 , 	230.00
2013-10-13 , 	230.00
2013-10-14 , 	230.00
2013-10-15 , 	230.00
2013-10-16 , 	230.00
2013-10-17 , 	230.00
2013-10-18 , 	230.00
2013-10-19 , 	230.00
2013-10-20 , 	230.00
2013-10-21 , 	230.00
2013-10-22 , 	230.00
2013-10-23 , 	230.00
2013-10-24 , 	230.00
2013-10-25 , 	230.00
2013-10-26 , 	230.00
2013-10-27 , 	230.00
2013-10-28 , 	230.00
2013-10-29 , 	230.00
2013-10-30 , 	230.00
2013-10-31 , 	230.00
2013-11-01 , 	300.00
2013-11-02 , 	300.00
2013-11-03 , 	300.00
2013-11-04 , 	300.00
2013-11-05 , 	300.00
2013-11-06 , 	300.00
2013-11-07 , 	300.00
2013-11-08 , 	300.00
2013-11-09 , 	300.00
2013-11-10 , 	300.00
2013-11-11 , 	300.00
2013-11-12 , 	300.00
2013-11-13 , 	300.00
2013-11-14 , 	300.00
2013-11-15 , 	300.00
2013-11-16 , 	300.00
2013-11-17 , 	300.00
2013-11-18 , 	300.00
2013-11-19 , 	300.00
2013-11-20 , 	300.00
2013-11-21 , 	300.00
2013-11-22 , 	300.00
2013-11-23 , 	300.00
2013-11-24 , 	300.00
2013-11-25 , 	300.00
2013-11-26 , 	300.00
2013-11-27 , 	300.00
2013-11-28 , 	300.00
2013-11-29 , 	300.00
2013-11-30 , 	300.00
2013-12-01 , 	470.00
2013-12-02 , 	470.00
2013-12-03 , 	470.00
2013-12-04 , 	470.00
2013-12-05 , 	470.00
2013-12-06 , 	470.00
2013-12-07 , 	470.00
2013-12-08 , 	470.00
2013-12-09 , 	470.00
2013-12-10 , 	470.00
2013-12-11 , 	470.00
2013-12-12 , 	470.00
2013-12-13 , 	470.00
2013-12-14 , 	470.00
2013-12-15 , 	470.00
2013-12-16 , 	470.00
2013-12-17 , 	470.00
2013-12-18 , 	470.00
2013-12-19 , 	470.00
2013-12-20 , 	470.00
2013-12-21 , 	470.00
2013-12-22 , 	470.00
2013-12-23 , 	470.00
2013-12-24 , 	470.00
2013-12-25 , 	470.00
2013-12-26 , 	470.00
2013-12-27 , 	470.00
2013-12-28 , 	470.00
2013-12-29 , 	470.00
2013-12-30 , 	470.00
2013-12-31 , 	470.00
2014-01-01 , 	-630.00
2014-01-02 , 	-630.00
2014-01-03 , 	-630.00
2014-01-04 , 	-630.00
2014-01-05 , 	-630.00
2014-01-06 , 	-630.00
2014-01-07 , 	-630.00
2014-01-08 , 	-630.00
2014-01-09 , 	-630.00
2014-01-10 , 	-630.00
2014-01-11 , 	-630.00
2014-01-12 , 	-630.00
2014-01-13 , 	-630.00
2014-01-14 , 	-630.00
2014-01-15 , 	-630.00
2014-01-16 , 	-630.00
2014-01-17 , 	-630.00
2014-01-18 , 	-630.00
2014-01-19 , 	-630.00
2014-01-20 , 	-630.00
2014-01-21 , 	-630.00
2014-01-22 , 	-630.00
2014-01-23 , 	-630.00
2014-01-24 , 	-630.00
2014-01-25 , 	-630.00
2014-01-26 , 	-630.00
2014-01-27 , 	-630.00
2014-01-28 , 	-630.00
