UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	smr	
# historical		
2013-07-30 , 	2190.00
2013-07-31 , 	2190.00
2013-08-01 , 	2690.00
2013-08-02 , 	2690.00
2013-08-03 , 	2690.00
2013-08-04 , 	2690.00
2013-08-05 , 	2690.00
2013-08-06 , 	2690.00
2013-08-07 , 	2690.00
2013-08-08 , 	2690.00
2013-08-09 , 	2690.00
2013-08-10 , 	2690.00
2013-08-11 , 	2690.00
2013-08-12 , 	2690.00
2013-08-13 , 	2690.00
2013-08-14 , 	2690.00
2013-08-15 , 	2690.00
2013-08-16 , 	2690.00
2013-08-17 , 	2690.00
2013-08-18 , 	2690.00
2013-08-19 , 	2690.00
2013-08-20 , 	2690.00
2013-08-21 , 	2690.00
2013-08-22 , 	2690.00
2013-08-23 , 	2690.00
2013-08-24 , 	2690.00
2013-08-25 , 	2690.00
2013-08-26 , 	2690.00
2013-08-27 , 	2690.00
2013-08-28 , 	2690.00
2013-08-29 , 	2690.00
2013-08-30 , 	2690.00
2013-08-31 , 	2690.00
2013-09-01 , 	2790.00
2013-09-02 , 	2790.00
2013-09-03 , 	2790.00
2013-09-04 , 	2790.00
2013-09-05 , 	2790.00
2013-09-06 , 	2790.00
2013-09-07 , 	2790.00
2013-09-08 , 	2790.00
2013-09-09 , 	2790.00
2013-09-10 , 	2790.00
2013-09-11 , 	2790.00
2013-09-12 , 	2790.00
2013-09-13 , 	2790.00
2013-09-14 , 	2790.00
2013-09-15 , 	2790.00
2013-09-16 , 	2790.00
2013-09-17 , 	2790.00
2013-09-18 , 	2790.00
2013-09-19 , 	2790.00
2013-09-20 , 	2790.00
2013-09-21 , 	2790.00
2013-09-22 , 	2790.00
2013-09-23 , 	2790.00
2013-09-24 , 	2790.00
2013-09-25 , 	2790.00
2013-09-26 , 	2790.00
2013-09-27 , 	2790.00
2013-09-28 , 	2790.00
2013-09-29 , 	2790.00
2013-09-30 , 	2790.00
2013-10-01 , 	2790.00
2013-10-02 , 	2790.00
2013-10-03 , 	2790.00
2013-10-04 , 	2790.00
2013-10-05 , 	2790.00
2013-10-06 , 	2790.00
2013-10-07 , 	2790.00
2013-10-08 , 	2790.00
2013-10-09 , 	2790.00
2013-10-10 , 	2790.00
2013-10-11 , 	2790.00
2013-10-12 , 	2790.00
2013-10-13 , 	2790.00
2013-10-14 , 	2790.00
2013-10-15 , 	2790.00
2013-10-16 , 	2790.00
2013-10-17 , 	2790.00
2013-10-18 , 	2790.00
2013-10-19 , 	2790.00
2013-10-20 , 	2790.00
2013-10-21 , 	2790.00
2013-10-22 , 	2790.00
2013-10-23 , 	2790.00
2013-10-24 , 	2790.00
2013-10-25 , 	2790.00
2013-10-26 , 	2790.00
2013-10-27 , 	2790.00
2013-10-28 , 	2790.00
2013-10-29 , 	2790.00
2013-10-30 , 	2790.00
2013-10-31 , 	2790.00
2013-11-01 , 	2280.00
2013-11-02 , 	2280.00
2013-11-03 , 	2280.00
2013-11-04 , 	2280.00
2013-11-05 , 	2280.00
2013-11-06 , 	2280.00
2013-11-07 , 	2280.00
2013-11-08 , 	2280.00
2013-11-09 , 	2280.00
2013-11-10 , 	2280.00
2013-11-11 , 	2280.00
2013-11-12 , 	2280.00
2013-11-13 , 	2280.00
2013-11-14 , 	2280.00
2013-11-15 , 	2280.00
2013-11-16 , 	2280.00
2013-11-17 , 	2280.00
2013-11-18 , 	2280.00
2013-11-19 , 	2280.00
2013-11-20 , 	2280.00
2013-11-21 , 	2280.00
2013-11-22 , 	2280.00
2013-11-23 , 	2280.00
2013-11-24 , 	2280.00
2013-11-25 , 	2280.00
2013-11-26 , 	2280.00
2013-11-27 , 	2280.00
2013-11-28 , 	2280.00
2013-11-29 , 	2280.00
2013-11-30 , 	2280.00
2013-12-01 , 	2180.00
2013-12-02 , 	2180.00
2013-12-03 , 	2180.00
2013-12-04 , 	2180.00
