UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	det	
# m applied d		
2013-07-30 , 	5180.00
2013-07-31 , 	5180.00
2013-08-01 , 	5140.00
2013-08-02 , 	5140.00
2013-08-03 , 	5140.00
2013-08-04 , 	5140.00
2013-08-05 , 	5140.00
2013-08-06 , 	5140.00
2013-08-07 , 	5140.00
2013-08-08 , 	5140.00
2013-08-09 , 	5140.00
2013-08-10 , 	5140.00
2013-08-11 , 	5140.00
2013-08-12 , 	5140.00
2013-08-13 , 	5140.00
2013-08-14 , 	5140.00
2013-08-15 , 	5140.00
2013-08-16 , 	5140.00
2013-08-17 , 	5140.00
2013-08-18 , 	5140.00
2013-08-19 , 	5140.00
2013-08-20 , 	5140.00
2013-08-21 , 	5140.00
2013-08-22 , 	5140.00
2013-08-23 , 	5140.00
2013-08-24 , 	5140.00
2013-08-25 , 	5140.00
2013-08-26 , 	5140.00
2013-08-27 , 	5140.00
2013-08-28 , 	5140.00
2013-08-29 , 	5140.00
2013-08-30 , 	5140.00
2013-08-31 , 	5140.00
2013-09-01 , 	5170.00
2013-09-02 , 	5170.00
2013-09-03 , 	5170.00
2013-09-04 , 	5170.00
2013-09-05 , 	5170.00
2013-09-06 , 	5170.00
2013-09-07 , 	5170.00
2013-09-08 , 	5170.00
2013-09-09 , 	5170.00
2013-09-10 , 	5170.00
2013-09-11 , 	5170.00
2013-09-12 , 	5170.00
2013-09-13 , 	5170.00
2013-09-14 , 	5170.00
2013-09-15 , 	5170.00
2013-09-16 , 	5170.00
2013-09-17 , 	5170.00
2013-09-18 , 	5170.00
2013-09-19 , 	5170.00
2013-09-20 , 	5170.00
2013-09-21 , 	5170.00
2013-09-22 , 	5170.00
2013-09-23 , 	5170.00
2013-09-24 , 	5170.00
2013-09-25 , 	5170.00
2013-09-26 , 	5170.00
2013-09-27 , 	5170.00
2013-09-28 , 	5170.00
2013-09-29 , 	5170.00
2013-09-30 , 	5170.00
2013-10-01 , 	5150.00
2013-10-02 , 	5150.00
2013-10-03 , 	5150.00
2013-10-04 , 	5150.00
2013-10-05 , 	5150.00
2013-10-06 , 	5150.00
2013-10-07 , 	5150.00
2013-10-08 , 	5150.00
2013-10-09 , 	5150.00
2013-10-10 , 	5150.00
2013-10-11 , 	5150.00
2013-10-12 , 	5150.00
2013-10-13 , 	5150.00
2013-10-14 , 	5150.00
2013-10-15 , 	5150.00
2013-10-16 , 	5150.00
2013-10-17 , 	5150.00
2013-10-18 , 	5150.00
2013-10-19 , 	5150.00
2013-10-20 , 	5150.00
2013-10-21 , 	5150.00
2013-10-22 , 	5150.00
2013-10-23 , 	5150.00
2013-10-24 , 	5150.00
2013-10-25 , 	5150.00
2013-10-26 , 	5150.00
2013-10-27 , 	5150.00
2013-10-28 , 	5150.00
2013-10-29 , 	5150.00
2013-10-30 , 	5150.00
2013-10-31 , 	5150.00
2013-11-01 , 	5280.00
2013-11-02 , 	5280.00
2013-11-03 , 	5280.00
2013-11-04 , 	5280.00
2013-11-05 , 	5280.00
2013-11-06 , 	5280.00
2013-11-07 , 	5280.00
2013-11-08 , 	5280.00
2013-11-09 , 	5280.00
2013-11-10 , 	5280.00
2013-11-11 , 	5280.00
2013-11-12 , 	5280.00
2013-11-13 , 	5280.00
2013-11-14 , 	5280.00
2013-11-15 , 	5280.00
2013-11-16 , 	5280.00
2013-11-17 , 	5280.00
2013-11-18 , 	5280.00
2013-11-19 , 	5280.00
2013-11-20 , 	5280.00
2013-11-21 , 	5280.00
2013-11-22 , 	5280.00
2013-11-23 , 	5280.00
2013-11-24 , 	5280.00
2013-11-25 , 	5280.00
2013-11-26 , 	5280.00
2013-11-27 , 	5280.00
2013-11-28 , 	5280.00
2013-11-29 , 	5280.00
2013-11-30 , 	5280.00
2013-12-01 , 	5350.00
2013-12-02 , 	5350.00
2013-12-03 , 	5350.00
2013-12-04 , 	5350.00
2013-12-05 , 	5350.00
2013-12-06 , 	5350.00
2013-12-07 , 	5350.00
2013-12-08 , 	5350.00
2013-12-09 , 	5350.00
2013-12-10 , 	5350.00
2013-12-11 , 	5350.00
2013-12-12 , 	5350.00
2013-12-13 , 	5350.00
2013-12-14 , 	5350.00
2013-12-15 , 	5350.00
2013-12-16 , 	5350.00
2013-12-17 , 	5350.00
2013-12-18 , 	5350.00
2013-12-19 , 	5350.00
2013-12-20 , 	5350.00
2013-12-21 , 	5350.00
2013-12-22 , 	5350.00
2013-12-23 , 	5350.00
2013-12-24 , 	5350.00
2013-12-25 , 	5350.00
2013-12-26 , 	5350.00
2013-12-27 , 	5350.00
2013-12-28 , 	5350.00
2013-12-29 , 	5350.00
2013-12-30 , 	5350.00
2013-12-31 , 	5350.00
2014-01-01 , 	3420.00
2014-01-02 , 	3420.00
2014-01-03 , 	3420.00
2014-01-04 , 	3420.00
2014-01-05 , 	3420.00
2014-01-06 , 	3420.00
2014-01-07 , 	3420.00
2014-01-08 , 	3420.00
2014-01-09 , 	3420.00
2014-01-10 , 	3420.00
2014-01-11 , 	3420.00
2014-01-12 , 	3420.00
2014-01-13 , 	3420.00
2014-01-14 , 	3420.00
2014-01-15 , 	3420.00
2014-01-16 , 	3420.00
2014-01-17 , 	3420.00
2014-01-18 , 	3420.00
2014-01-19 , 	3420.00
2014-01-20 , 	3420.00
2014-01-21 , 	3420.00
2014-01-22 , 	3420.00
2014-01-23 , 	3420.00
2014-01-24 , 	3420.00
2014-01-25 , 	3420.00
2014-01-26 , 	3420.00
2014-01-27 , 	3420.00
2014-01-28 , 	3420.00
2014-01-29 , 	3420.00
2014-01-30 , 	3420.00
2014-01-31 , 	3420.00
2014-02-01 , 	4410.00
2014-02-02 , 	4410.00
2014-02-03 , 	4410.00
2014-02-04 , 	4410.00
2014-02-05 , 	4410.00
2014-02-06 , 	4410.00
2014-02-07 , 	4410.00
2014-02-08 , 	4410.00
2014-02-09 , 	4410.00
2014-02-10 , 	4410.00
2014-02-11 , 	4410.00
2014-02-12 , 	4410.00
2014-02-13 , 	4410.00
2014-02-14 , 	4410.00
2014-02-15 , 	4410.00
2014-02-16 , 	4410.00
2014-02-17 , 	4410.00
2014-02-18 , 	4410.00
2014-02-19 , 	4410.00
2014-02-20 , 	4410.00
2014-02-21 , 	4410.00
2014-02-22 , 	4410.00
2014-02-23 , 	4410.00
2014-02-24 , 	4410.00
2014-02-25 , 	4410.00
2014-02-26 , 	4410.00
2014-02-27 , 	4410.00
2014-02-28 , 	4410.00
2014-03-01 , 	4990.00
2014-03-02 , 	4990.00
2014-03-03 , 	4990.00
2014-03-04 , 	4990.00
2014-03-05 , 	4990.00
2014-03-06 , 	4990.00
2014-03-07 , 	4990.00
2014-03-08 , 	4990.00
2014-03-09 , 	4990.00
2014-03-10 , 	4990.00
2014-03-11 , 	4990.00
2014-03-12 , 	4990.00
2014-03-13 , 	4990.00
2014-03-14 , 	4990.00
2014-03-15 , 	4990.00
2014-03-16 , 	4990.00
2014-03-17 , 	4990.00
2014-03-18 , 	4990.00
2014-03-19 , 	4990.00
2014-03-20 , 	4990.00
2014-03-21 , 	4990.00
2014-03-22 , 	4990.00
2014-03-23 , 	4990.00
2014-03-24 , 	4990.00
2014-03-25 , 	4990.00
2014-03-26 , 	4990.00
2014-03-27 , 	4990.00
2014-03-28 , 	4990.00
2014-03-29 , 	4990.00
2014-03-30 , 	4990.00
2014-03-31 , 	4990.00
2014-04-01 , 	5280.00
2014-04-02 , 	5280.00
2014-04-03 , 	5280.00
2014-04-04 , 	5280.00
2014-04-05 , 	5280.00
2014-04-06 , 	5280.00
2014-04-07 , 	5280.00
2014-04-08 , 	5280.00
2014-04-09 , 	5280.00
2014-04-10 , 	5280.00
2014-04-11 , 	5280.00
2014-04-12 , 	5280.00
2014-04-13 , 	5280.00
2014-04-14 , 	5280.00
2014-04-15 , 	5280.00
2014-04-16 , 	5280.00
2014-04-17 , 	5280.00
2014-04-18 , 	5280.00
2014-04-19 , 	5280.00
2014-04-20 , 	5280.00
2014-04-21 , 	5280.00
2014-04-22 , 	5280.00
2014-04-23 , 	5280.00
2014-04-24 , 	5280.00
2014-04-25 , 	5280.00
2014-04-26 , 	5280.00
2014-04-27 , 	5280.00
2014-04-28 , 	5280.00
2014-04-29 , 	5280.00
2014-04-30 , 	5280.00
2014-05-01 , 	5560.00
2014-05-02 , 	5560.00
2014-05-03 , 	5560.00
2014-05-04 , 	5560.00
2014-05-05 , 	5560.00
2014-05-06 , 	5560.00
2014-05-07 , 	5560.00
2014-05-08 , 	5560.00
2014-05-09 , 	5560.00
2014-05-10 , 	5560.00
2014-05-11 , 	5560.00
2014-05-12 , 	5560.00
2014-05-13 , 	5560.00
2014-05-14 , 	5560.00
2014-05-15 , 	5560.00
2014-05-16 , 	5560.00
2014-05-17 , 	5560.00
2014-05-18 , 	5560.00
2014-05-19 , 	5560.00
2014-05-20 , 	5560.00
2014-05-21 , 	5560.00
2014-05-22 , 	5560.00
2014-05-23 , 	5560.00
2014-05-24 , 	5560.00
2014-05-25 , 	5560.00
2014-05-26 , 	5560.00
2014-05-27 , 	5560.00
2014-05-28 , 	5560.00
2014-05-29 , 	5560.00
2014-05-30 , 	5560.00
2014-05-31 , 	5560.00
2014-06-01 , 	5530.00
2014-06-02 , 	5530.00
2014-06-03 , 	5530.00
2014-06-04 , 	5530.00
2014-06-05 , 	5530.00
2014-06-06 , 	5530.00
2014-06-07 , 	5530.00
2014-06-08 , 	5530.00
2014-06-09 , 	5530.00
2014-06-10 , 	5530.00
2014-06-11 , 	5530.00
2014-06-12 , 	5530.00
2014-06-13 , 	5530.00
2014-06-14 , 	5530.00
2014-06-15 , 	5530.00
2014-06-16 , 	5530.00
2014-06-17 , 	5530.00
2014-06-18 , 	5530.00
2014-06-19 , 	5530.00
2014-06-20 , 	5530.00
2014-06-21 , 	5530.00
2014-06-22 , 	5530.00
2014-06-23 , 	5530.00
2014-06-24 , 	5530.00
2014-06-25 , 	5530.00
2014-06-26 , 	5530.00
