UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	sup	
# m applied d		
2013-08-02 , 	3850.00
2013-08-03 , 	3850.00
2013-08-04 , 	3850.00
2013-08-05 , 	3850.00
2013-08-06 , 	3850.00
2013-08-07 , 	3850.00
2013-08-08 , 	3850.00
2013-08-09 , 	3850.00
2013-08-10 , 	3850.00
2013-08-11 , 	3850.00
2013-08-12 , 	3850.00
2013-08-13 , 	3850.00
2013-08-14 , 	3850.00
2013-08-15 , 	3850.00
2013-08-16 , 	3850.00
2013-08-17 , 	3850.00
2013-08-18 , 	3850.00
2013-08-19 , 	3850.00
2013-08-20 , 	3850.00
2013-08-21 , 	3850.00
2013-08-22 , 	3850.00
2013-08-23 , 	3850.00
2013-08-24 , 	3850.00
2013-08-25 , 	3850.00
2013-08-26 , 	3850.00
2013-08-27 , 	3850.00
2013-08-28 , 	3850.00
2013-08-29 , 	3850.00
2013-08-30 , 	3850.00
2013-08-31 , 	3850.00
2013-09-01 , 	2050.00
2013-09-02 , 	2050.00
2013-09-03 , 	2050.00
2013-09-04 , 	2050.00
2013-09-05 , 	2050.00
2013-09-06 , 	2050.00
2013-09-07 , 	2050.00
2013-09-08 , 	2050.00
2013-09-09 , 	2050.00
2013-09-10 , 	2050.00
2013-09-11 , 	2050.00
2013-09-12 , 	2050.00
2013-09-13 , 	2050.00
2013-09-14 , 	2050.00
2013-09-15 , 	2050.00
2013-09-16 , 	2050.00
2013-09-17 , 	2050.00
2013-09-18 , 	2050.00
2013-09-19 , 	2050.00
2013-09-20 , 	2050.00
2013-09-21 , 	2050.00
2013-09-22 , 	2050.00
2013-09-23 , 	2050.00
2013-09-24 , 	2050.00
2013-09-25 , 	2050.00
2013-09-26 , 	2050.00
2013-09-27 , 	2050.00
2013-09-28 , 	2050.00
2013-09-29 , 	2050.00
2013-09-30 , 	2050.00
2013-10-01 , 	1350.00
2013-10-02 , 	1350.00
2013-10-03 , 	1350.00
2013-10-04 , 	1350.00
2013-10-05 , 	1350.00
2013-10-06 , 	1350.00
2013-10-07 , 	1350.00
2013-10-08 , 	1350.00
2013-10-09 , 	1350.00
2013-10-10 , 	1350.00
2013-10-11 , 	1350.00
2013-10-12 , 	1350.00
2013-10-13 , 	1350.00
2013-10-14 , 	1350.00
2013-10-15 , 	1350.00
2013-10-16 , 	1350.00
2013-10-17 , 	1350.00
2013-10-18 , 	1350.00
2013-10-19 , 	1350.00
2013-10-20 , 	1350.00
2013-10-21 , 	1350.00
2013-10-22 , 	1350.00
2013-10-23 , 	1350.00
2013-10-24 , 	1350.00
2013-10-25 , 	1350.00
2013-10-26 , 	1350.00
2013-10-27 , 	1350.00
2013-10-28 , 	1350.00
2013-10-29 , 	1350.00
2013-10-30 , 	1350.00
2013-10-31 , 	1350.00
2013-11-01 , 	840.00
2013-11-02 , 	840.00
2013-11-03 , 	840.00
2013-11-04 , 	840.00
2013-11-05 , 	840.00
2013-11-06 , 	840.00
2013-11-07 , 	840.00
2013-11-08 , 	840.00
2013-11-09 , 	840.00
2013-11-10 , 	840.00
2013-11-11 , 	840.00
2013-11-12 , 	840.00
2013-11-13 , 	840.00
2013-11-14 , 	840.00
2013-11-15 , 	840.00
2013-11-16 , 	840.00
2013-11-17 , 	840.00
2013-11-18 , 	840.00
2013-11-19 , 	840.00
2013-11-20 , 	840.00
2013-11-21 , 	840.00
2013-11-22 , 	840.00
2013-11-23 , 	840.00
2013-11-24 , 	840.00
2013-11-25 , 	840.00
2013-11-26 , 	840.00
2013-11-27 , 	840.00
2013-11-28 , 	840.00
2013-11-29 , 	840.00
2013-11-30 , 	840.00
2013-12-01 , 	460.00
2013-12-02 , 	460.00
2013-12-03 , 	460.00
