UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	ont	
# m applied d		
2013-08-01 , 	150.00
2013-08-02 , 	150.00
2013-08-03 , 	150.00
2013-08-04 , 	150.00
2013-08-05 , 	150.00
2013-08-06 , 	150.00
2013-08-07 , 	150.00
2013-08-08 , 	150.00
2013-08-09 , 	150.00
2013-08-10 , 	150.00
2013-08-11 , 	150.00
2013-08-12 , 	150.00
2013-08-13 , 	150.00
2013-08-14 , 	150.00
2013-08-15 , 	150.00
2013-08-16 , 	150.00
2013-08-17 , 	150.00
2013-08-18 , 	150.00
2013-08-19 , 	150.00
2013-08-20 , 	150.00
2013-08-21 , 	150.00
2013-08-22 , 	150.00
2013-08-23 , 	150.00
2013-08-24 , 	150.00
2013-08-25 , 	150.00
2013-08-26 , 	150.00
2013-08-27 , 	150.00
2013-08-28 , 	150.00
2013-08-29 , 	150.00
2013-08-30 , 	150.00
2013-08-31 , 	150.00
2013-09-01 , 	-60.00
2013-09-02 , 	-60.00
2013-09-03 , 	-60.00
2013-09-04 , 	-60.00
2013-09-05 , 	-60.00
2013-09-06 , 	-60.00
2013-09-07 , 	-60.00
2013-09-08 , 	-60.00
2013-09-09 , 	-60.00
2013-09-10 , 	-60.00
2013-09-11 , 	-60.00
2013-09-12 , 	-60.00
2013-09-13 , 	-60.00
2013-09-14 , 	-60.00
2013-09-15 , 	-60.00
2013-09-16 , 	-60.00
2013-09-17 , 	-60.00
2013-09-18 , 	-60.00
2013-09-19 , 	-60.00
2013-09-20 , 	-60.00
2013-09-21 , 	-60.00
2013-09-22 , 	-60.00
2013-09-23 , 	-60.00
2013-09-24 , 	-60.00
2013-09-25 , 	-60.00
2013-09-26 , 	-60.00
2013-09-27 , 	-60.00
2013-09-28 , 	-60.00
2013-09-29 , 	-60.00
2013-09-30 , 	-60.00
2013-10-01 , 	580.00
2013-10-02 , 	580.00
2013-10-03 , 	580.00
2013-10-04 , 	580.00
2013-10-05 , 	580.00
2013-10-06 , 	580.00
2013-10-07 , 	580.00
2013-10-08 , 	580.00
2013-10-09 , 	580.00
2013-10-10 , 	580.00
2013-10-11 , 	580.00
2013-10-12 , 	580.00
2013-10-13 , 	580.00
2013-10-14 , 	580.00
2013-10-15 , 	580.00
2013-10-16 , 	580.00
2013-10-17 , 	580.00
2013-10-18 , 	580.00
2013-10-19 , 	580.00
2013-10-20 , 	580.00
2013-10-21 , 	580.00
2013-10-22 , 	580.00
2013-10-23 , 	580.00
2013-10-24 , 	580.00
2013-10-25 , 	580.00
2013-10-26 , 	580.00
2013-10-27 , 	580.00
2013-10-28 , 	580.00
2013-10-29 , 	580.00
2013-10-30 , 	580.00
2013-10-31 , 	580.00
2013-11-01 , 	810.00
2013-11-02 , 	810.00
2013-11-03 , 	810.00
2013-11-04 , 	810.00
2013-11-05 , 	810.00
2013-11-06 , 	810.00
2013-11-07 , 	810.00
2013-11-08 , 	810.00
2013-11-09 , 	810.00
2013-11-10 , 	810.00
2013-11-11 , 	810.00
2013-11-12 , 	810.00
2013-11-13 , 	810.00
2013-11-14 , 	810.00
2013-11-15 , 	810.00
2013-11-16 , 	810.00
2013-11-17 , 	810.00
2013-11-18 , 	810.00
2013-11-19 , 	810.00
2013-11-20 , 	810.00
2013-11-21 , 	810.00
2013-11-22 , 	810.00
2013-11-23 , 	810.00
2013-11-24 , 	810.00
2013-11-25 , 	810.00
2013-11-26 , 	810.00
2013-11-27 , 	810.00
2013-11-28 , 	810.00
2013-11-29 , 	810.00
2013-11-30 , 	810.00
2013-12-01 , 	1200.00
2013-12-02 , 	1200.00
2013-12-03 , 	1200.00
2013-12-04 , 	1200.00
2013-12-05 , 	1200.00
2013-12-06 , 	1200.00
2013-12-07 , 	1200.00
2013-12-08 , 	1200.00
2013-12-09 , 	1200.00
2013-12-10 , 	1200.00
2013-12-11 , 	1200.00
2013-12-12 , 	1200.00
2013-12-13 , 	1200.00
2013-12-14 , 	1200.00
2013-12-15 , 	1200.00
2013-12-16 , 	1200.00
2013-12-17 , 	1200.00
2013-12-18 , 	1200.00
