UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	sup	
# daily lwa			
2013-08-13 , 	183.45
2013-08-14 , 	183.44
2013-08-15 , 	183.44
2013-08-16 , 	183.43
2013-08-17 , 	183.43
2013-08-18 , 	183.43
2013-08-19 , 	183.43
2013-08-20 , 	183.43
2013-08-21 , 	183.43
2013-08-22 , 	183.44
2013-08-23 , 	183.43
2013-08-24 , 	183.42
2013-08-25 , 	183.42
2013-08-26 , 	183.45
2013-08-27 , 	183.45
2013-08-28 , 	183.45
2013-08-29 , 	183.44
2013-08-30 , 	183.48
2013-08-31 , 	183.47
2013-09-01 , 	183.48
2013-09-02 , 	183.51
2013-09-03 , 	183.49
2013-09-04 , 	183.49
2013-09-05 , 	183.48
2013-09-06 , 	183.47
2013-09-07 , 	183.49
2013-09-08 , 	183.48
2013-09-09 , 	183.48
2013-09-10 , 	183.50
2013-09-11 , 	183.50
2013-09-12 , 	183.51
2013-09-13 , 	183.50
2013-09-14 , 	183.47
2013-09-15 , 	183.50
2013-09-16 , 	183.49
2013-09-17 , 	183.47
2013-09-18 , 	183.47
2013-09-19 , 	183.47
2013-09-20 , 	183.49
2013-09-21 , 	183.50
2013-09-22 , 	183.49
2013-09-23 , 	183.47
2013-09-24 , 	183.47
2013-09-25 , 	183.47
2013-09-26 , 	183.47
2013-09-27 , 	183.46
2013-09-28 , 	183.45
2013-09-29 , 	183.47
2013-09-30 , 	183.46
2013-10-01 , 	183.45
2013-10-02 , 	183.46
2013-10-03 , 	183.46
2013-10-04 , 	183.46
2013-10-05 , 	183.47
2013-10-06 , 	183.46
2013-10-07 , 	183.47
2013-10-08 , 	183.45
2013-10-09 , 	183.45
2013-10-10 , 	183.46
2013-10-11 , 	183.45
2013-10-12 , 	183.44
2013-10-13 , 	183.46
2013-10-14 , 	183.46
2013-10-15 , 	183.46
2013-10-16 , 	183.46
2013-10-17 , 	183.45
2013-10-18 , 	183.45
2013-10-19 , 	183.45
2013-10-20 , 	183.44
2013-10-21 , 	183.44
2013-10-22 , 	183.47
2013-10-23 , 	183.45
2013-10-24 , 	183.45
2013-10-25 , 	183.42
2013-10-26 , 	183.44
2013-10-27 , 	183.44
2013-10-28 , 	183.42
2013-10-29 , 	183.41
2013-10-30 , 	183.40
2013-10-31 , 	183.41
2013-11-01 , 	183.43
2013-11-02 , 	183.42
2013-11-03 , 	183.40
2013-11-04 , 	183.38
2013-11-05 , 	183.40
2013-11-06 , 	183.41
2013-11-07 , 	183.41
2013-11-08 , 	183.41
