UNITS:	cms	
KIND:	flow	
INTERVAL:	qm	
LOCATION:	det	
# origin is monthly
2017-05-Q3,	5870.00
2017-05-Q4,	5870.00
2017-06-Q1,	5870.00
2017-06-Q2,	5870.00
2017-06-Q3,	5870.00
2017-06-Q4,	5870.00
2017-07-Q1,	5940.00
2017-07-Q2,	5940.00
2017-07-Q3,	5940.00
2017-07-Q4,	5940.00
2017-08-Q1,	5980.00
2017-08-Q2,	5980.00
2017-08-Q3,	5980.00
2017-08-Q4,	5980.00
2017-09-Q1,	6100.00
2017-09-Q2,	6100.00
2017-09-Q3,	6100.00
2017-09-Q4,	6100.00
2017-10-Q1,	6200.00
2017-10-Q2,	6200.00
2017-10-Q3,	6200.00
2017-10-Q4,	6200.00
2017-11-Q1,	6450.00
2017-11-Q2,	6450.00
2017-11-Q3,	6450.00
2017-11-Q4,	6450.00
2017-12-Q1,	6220.00
2017-12-Q2,	6220.00
2017-12-Q3,	6220.00
2017-12-Q4,	6220.00
