UNITS:	cms	
KIND:	nbs	
INTERVAL:	qm	
LOCATION:	stc	
# origin is monthly
2017-09-Q1,	-140.00
2017-09-Q2,	-140.00
2017-09-Q3,	-140.00
2017-09-Q4,	-140.00
2017-10-Q1,	90.00
2017-10-Q2,	90.00
2017-10-Q3,	90.00
2017-10-Q4,	90.00
2017-11-Q1,	340.00
2017-11-Q2,	340.00
2017-11-Q3,	340.00
2017-11-Q4,	340.00
2017-12-Q1,	250.00
2017-12-Q2,	250.00
2017-12-Q3,	250.00
2017-12-Q4,	250.00
