UNITS:	cms	
KIND:	flow	
INTERVAL:	qm	
LOCATION:	smr	
# origin is monthly
2017-05-Q3,	1920.00
2017-05-Q4,	1920.00
2017-06-Q1,	2300.00
2017-06-Q2,	2300.00
2017-06-Q3,	2300.00
2017-06-Q4,	2300.00
2017-07-Q1,	3250.00
2017-07-Q2,	3250.00
2017-07-Q3,	3250.00
2017-07-Q4,	3250.00
2017-08-Q1,	3300.00
2017-08-Q2,	3300.00
2017-08-Q3,	3300.00
2017-08-Q4,	3300.00
2017-09-Q1,	2800.00
2017-09-Q2,	2800.00
2017-09-Q3,	2800.00
2017-09-Q4,	2800.00
2017-10-Q1,	3100.00
2017-10-Q2,	3100.00
2017-10-Q3,	3100.00
2017-10-Q4,	3100.00
2017-11-Q1,	3080.00
2017-11-Q2,	3080.00
2017-11-Q3,	3080.00
2017-11-Q4,	3080.00
2017-12-Q1,	2240.00
2017-12-Q2,	2240.00
2017-12-Q3,	2240.00
2017-12-Q4,	2240.00
