UNITS:	meters	
KIND:	mlv	
INTERVAL:	qm	
LOCATION:	sup	
# origin is monthly
2017-09-Q1,	183.80
2017-09-Q2,	183.78
2017-09-Q3,	183.81
2017-09-Q4,	183.82
2017-10-Q1,	183.83
2017-10-Q2,	183.82
2017-10-Q3,	183.79
2017-10-Q4,	183.81
2017-11-Q1,	183.81
2017-11-Q2,	183.77
2017-11-Q3,	183.77
2017-11-Q4,	183.74
2017-12-Q1,	183.74
2017-12-Q2,	183.74
2017-12-Q3,	183.71
2017-12-Q4,	183.70
