UNITS:	cms	
KIND:	flow	
INTERVAL:	qm	
LOCATION:	welland diversion	
# welland		
2017-09-Q2,	190.00
2017-09-Q3,	190.00
2017-09-Q4,	190.00
2017-10-Q1,	190.00
2017-10-Q2,	190.00
2017-10-Q3,	190.00
2017-10-Q4,	190.00
2017-11-Q1,	90.00
2017-11-Q2,	90.00
2017-11-Q3,	90.00
2017-11-Q4,	90.00
2017-12-Q1,	140.00
2017-12-Q2,	140.00
2017-12-Q3,	140.00
2017-12-Q4,	140.00
