UNITS:	cms	
KIND:	nbs	
INTERVAL:	qm	
LOCATION:	mhu	
# origin is monthly
2017-05-Q3,	8900.00
2017-05-Q4,	8900.00
2017-06-Q1,	8880.00
2017-06-Q2,	8880.00
2017-06-Q3,	8880.00
2017-06-Q4,	8880.00
2017-07-Q1,	4250.00
2017-07-Q2,	4250.00
2017-07-Q3,	4250.00
2017-07-Q4,	4250.00
2017-08-Q1,	1150.00
2017-08-Q2,	1150.00
2017-08-Q3,	1150.00
2017-08-Q4,	1150.00
2017-09-Q1,	-100.00
2017-09-Q2,	-100.00
2017-09-Q3,	-100.00
2017-09-Q4,	-100.00
2017-10-Q1,	3020.00
2017-10-Q2,	3020.00
2017-10-Q3,	3020.00
2017-10-Q4,	3020.00
2017-11-Q1,	460.00
2017-11-Q2,	460.00
2017-11-Q3,	460.00
2017-11-Q4,	460.00
2017-12-Q1,	240.00
2017-12-Q2,	240.00
2017-12-Q3,	240.00
2017-12-Q4,	240.00
