UNITS:	cms	
KIND:	flow	
INTERVAL:	qm	
LOCATION:	stl	
# origin is monthly
2017-05-Q3,	8560.00
2017-05-Q4,	8560.00
2017-06-Q1,	10310.00
2017-06-Q2,	10310.00
2017-06-Q3,	10310.00
2017-06-Q4,	10310.00
2017-07-Q1,	10400.00
2017-07-Q2,	10400.00
2017-07-Q3,	10400.00
2017-07-Q4,	10400.00
2017-08-Q1,	9950.00
2017-08-Q2,	9950.00
2017-08-Q3,	9950.00
2017-08-Q4,	9950.00
2017-09-Q1,	8920.00
2017-09-Q2,	8920.00
2017-09-Q3,	8920.00
2017-09-Q4,	8920.00
2017-10-Q1,	8350.00
2017-10-Q2,	8350.00
2017-10-Q3,	8350.00
2017-10-Q4,	8350.00
2017-11-Q1,	8500.00
2017-11-Q2,	8500.00
2017-11-Q3,	8500.00
2017-11-Q4,	8500.00
2017-12-Q1,	8080.00
2017-12-Q2,	8080.00
2017-12-Q3,	8080.00
2017-12-Q4,	8080.00
