UNITS:	cms	
KIND:	nbs	
INTERVAL:	qm	
LOCATION:	ont	
# origin is monthly
2017-07-Q1,	1590.00
2017-07-Q2,	1590.00
2017-07-Q3,	1590.00
2017-07-Q4,	1590.00
2017-08-Q1,	240.00
2017-08-Q2,	240.00
2017-08-Q3,	240.00
2017-08-Q4,	240.00
2017-09-Q1,	50.00
2017-09-Q2,	50.00
2017-09-Q3,	50.00
2017-09-Q4,	50.00
2017-10-Q1,	680.00
2017-10-Q2,	680.00
2017-10-Q3,	680.00
2017-10-Q4,	680.00
2017-11-Q1,	1700.00
2017-11-Q2,	1700.00
2017-11-Q3,	1700.00
2017-11-Q4,	1700.00
2017-12-Q1,	550.00
2017-12-Q2,	550.00
2017-12-Q3,	550.00
2017-12-Q4,	550.00
