UNITS:	cms	
KIND:	flow	
INTERVAL:	qm	
LOCATION:	scr	
# origin is monthly
2017-05-Q3,	5820.00
2017-05-Q4,	5820.00
2017-06-Q1,	5730.00
2017-06-Q2,	5730.00
2017-06-Q3,	5730.00
2017-06-Q4,	5730.00
2017-07-Q1,	6070.00
2017-07-Q2,	6070.00
2017-07-Q3,	6070.00
2017-07-Q4,	6070.00
2017-08-Q1,	6150.00
2017-08-Q2,	6150.00
2017-08-Q3,	6150.00
2017-08-Q4,	6150.00
2017-09-Q1,	6180.00
2017-09-Q2,	6180.00
2017-09-Q3,	6180.00
2017-09-Q4,	6180.00
2017-10-Q1,	6030.00
2017-10-Q2,	6030.00
2017-10-Q3,	6030.00
2017-10-Q4,	6030.00
2017-11-Q1,	6130.00
2017-11-Q2,	6130.00
2017-11-Q3,	6130.00
2017-11-Q4,	6130.00
2017-12-Q1,	5960.00
2017-12-Q2,	5960.00
2017-12-Q3,	5960.00
2017-12-Q4,	5960.00
