UNITS:	meters	
KIND:	mlv	
INTERVAL:	qm	
LOCATION:	stc	
# origin is monthly
2017-09-Q1,	175.61
2017-09-Q2,	175.59
2017-09-Q3,	175.56
2017-09-Q4,	175.54
2017-10-Q1,	175.49
2017-10-Q2,	175.53
2017-10-Q3,	175.43
2017-10-Q4,	175.38
2017-11-Q1,	175.46
2017-11-Q2,	175.44
2017-11-Q3,	175.43
2017-11-Q4,	175.42
2017-12-Q1,	175.34
2017-12-Q2,	175.35
2017-12-Q3,	175.38
2017-12-Q4,	175.36
