UNITS:	cms	
KIND:	nbs	
INTERVAL:	qm	
LOCATION:	sup	
# origin is monthly
2017-06-Q1,	5400.00
2017-06-Q2,	5400.00
2017-06-Q3,	5400.00
2017-06-Q4,	5400.00
2017-07-Q1,	3320.00
2017-07-Q2,	3320.00
2017-07-Q3,	3320.00
2017-07-Q4,	3320.00
2017-08-Q1,	4420.00
2017-08-Q2,	4420.00
2017-08-Q3,	4420.00
2017-08-Q4,	4420.00
2017-09-Q1,	3310.00
2017-09-Q2,	3310.00
2017-09-Q3,	3310.00
2017-09-Q4,	3310.00
2017-10-Q1,	3260.00
2017-10-Q2,	3260.00
2017-10-Q3,	3260.00
2017-10-Q4,	3260.00
2017-11-Q1,	-180.00
2017-11-Q2,	-180.00
2017-11-Q3,	-180.00
2017-11-Q4,	-180.00
2017-12-Q1,	1500.00
2017-12-Q2,	1500.00
2017-12-Q3,	1500.00
2017-12-Q4,	1500.00
